internationalname,tradename,dosageform,manufacturer,amount,limitingprice,price,certificatenumber,registrationdate,barcode,atc,reasonexclude,dateexclude
~,Анаферон детский****(*)*,"таблетки для рассасывания, 20 шт. - упаковки ячейковые контурные - пачки картонные","ООО ""Научно-производственная фирма ""Материа Медика Холдинг"" - Россия", 20,  103.67,,Р N000372/01,"27.02.2010
(1488-Пр/10)",4607009581071,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,01.10.2014
~,Сурфактант-БЛ**,лиофилизат для приготовления эмульсии для ингаляционного введения 25 мг - флаконы 10 мл (2) - пачки картонные,"ООО ""Биосурф"" - Россия", 2, 9 720.00,,ЛСР-010019/08,"31.08.2010
(8957-Пр/10)",4607002420100,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
~,Сурфактант-БЛ**,"лиофилизат для приготовления эмульсии для эндотрахеального, эндобронхиального и ингаляционного введения 75 мг - флаконы 10 мл (2) - пачки картонные","ООО ""Биосурф"" - Россия", 2, 15 606.00,,Р N003383/01,"29.04.2010
(3572-Пр/10)",4607002420124,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Активированный уголь,Карбопект*,"капсулы 110 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Медисорб"" - Россия", 20,  85.05,,ЛС-000397,"15.03.2010
(1907-Пр/10)",4603182002280,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Карбопект*,"таблетки 230 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Медисорб"" - Россия", 20,  34.02,,ЛС-000054,"15.03.2010
(1907-Пр/10)",4603182002327,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Карбопект*,"таблетки 230 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Медисорб"" - Россия", 50,  85.05,,ЛС-000054,"15.03.2010
(1907-Пр/10)",4603182002334,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные","ОАО ""Фармстандарт-Лексредства"" - Россия", 10,  4.13,,Р N001033/01,"04.03.2010
(1729-Пр/10)",4601669000644,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные","ООО ""Асфарма"" - Россия", 10,  4.32,,ЛСР-006128/08,"11.03.2010
(1872-Пр/10)",4607100621188,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия", 10,  4.16,,Р N002061/01,"29.03.2010
(2529-Пр/10)",4603276000413,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные (550) - ящики картонные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия",5 500, 2 286.90,,Р N002061/01,"29.03.2010
(2529-Пр/10)",4603276005739,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ОАО ""Фармстандарт-Лексредства"" - Россия", 50,  28.08,,Р N001033/01,"30.07.2010
(7464-Пр/10)",4601669005670,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 6 шт. - упаковки безъячейковые контурные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия", 6,  3.54,,Р N002061/01,"29.03.2010
(2529-Пр/10)",4603276005524,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 6 шт. - упаковки безъячейковые контурные (1000) - ящики картонные","ОАО ""Ирбитский химико-фармацевтический завод"" - Россия",6 000, 3 542.40,,Р N002061/01,"29.03.2010
(2529-Пр/10)",4603276005746,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный МС*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные","ЗАО ""Медисорб"" - Россия", 10,  4.31,,Р N001289/01,"15.03.2010
(1907-Пр/10)",4603182000019,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный МС*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные (2) - пачки картонные","ЗАО ""Медисорб"" - Россия", 20,  11.32,,Р N001289/01,"15.03.2010
(1907-Пр/10)",4603182000200,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные","ЗАО ""Вифитех"" - Россия", 10,  4.86,,ЛС-000301,"31.03.2010
(2715-Пр/10)",4605180006024,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Уголь активированный-УБФ*,"таблетки 250 мг, 10 шт. - упаковки безъячейковые контурные","ОАО ""Уралбиофарм"" - Россия", 10,  4.22,,Р N002523/01-2003,"15.03.2010
(1907-Пр/10)",4603179000145,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Ультра-адсорб*,"капсулы 200 мг, 15 шт. - упаковки ячейковые контурные - пачки картонные",Лаинко С.А. - Испания, 15,  136.76,,П N015960/01,"04.03.2010
(1729-Пр/10)",8431178120214,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Активированный уголь,Ультра-адсорб*,"капсулы 200 мг, 15 шт. - упаковки ячейковые контурные (2) - пачки картонные",Лаинко С.А. - Испания, 30,  214.31,,П N015960/01,"04.03.2010
(1729-Пр/10)",8470008359752,,исключения лекарственного препарата из перечня жизненно необходимых и важнейших лекарственных препаратов,
Альбумин человека,Плазбумин 20*,"раствор для инфузий 200 мг/мл (в РУ - 20%), 50 мл - флаконы - пачки картонные",Талекрис Биотерапьютикс Инк - США, 1, 1 040.74,,П N014887/01,"19.08.2010
(8385-Пр/10)",4607003390426,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Амикацин,Амикацин-Виал**,порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг - флаконы - пачки картонные,"Вл. - ООО ""Виал"" - Россия; Пр. - Северная Китайская Фармацевтическая Корпорация Лтд - Китай; Уп. - ООО ""Озон"" - Россия", 1,  27.75,,ЛСР-001439/07,"29.06.2010
(6118-Пр/10)",4607027763442,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Амиодарон,Амиодарон*,"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные","ЗАО ""Северная звезда"" - Россия", 30,  39.96,,Р N002389/01,"11.03.2010
(1872-Пр/10)",4607005891365,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Аминофиллин,Эуфиллин,"раствор для внутривенного введения 24 мг/мл, 10 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия", 10,  26.28,,ЛСР-003895/07,"19.02.2010
(1230-Пр/10)",4602884003083,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Амиодарон,Амиодарон*,"таблетки 200 мг, 30 шт. - банки темного стекла - пачки картонные","ЗАО ""Северная звезда"" - Россия", 30,  33.33,,Р N002389/01,"19.02.2010
(1230-Пр/10)",4607005891372,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Амиодарон,Амиодарон,"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные","ОАО ""СТИ-Мед-Сорб"" - Россия", 30,  37.91,,ЛС-000753,"03.03.2010
(1620-Пр/10)",4607003663117,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,11.04.2016
Амитриптилин,Амитриптилин*,"раствор для внутримышечного введения 10 мг/мл, 1 шт., 2 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (2) - пачки картонные",Зентива а.с. - Чешская Республика, 10,  92.65,,П N015860/01,"23.03.2010
(2347-Пр/10)",8594739011625,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,
Анастрозол,Маммозол*,"таблетки покрытые пленочной оболочкой 1 мг, 14 шт. - упаковки ячейковые контурные (2) - пачки картонные","Вл. - ОАО ""Гедеон Рихтер"" - Венгрия; Пр. - Xaупт Фарма Мюнстер ГмбХ - Германия", 28, 4 249.06,,ЛСР-009850/09,"11.03.2010
(1872-Пр/10)",5997001301531,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Аскорбиновая кислота,Аскорбиновая кислота,"раствор для внутривенного и внутримышечного введения 50 мг/мл, 2 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия", 10,  16.45,,ЛС-001815,"19.02.2010
(1230-Пр/10)",4602884000747,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,20.07.2016
Атенолол,Атенолол*,"таблетки 50 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные","ЗАО ""Канонфарма продакшн"" - Россия", 30,  8.46,,Р N002774/01,"11.03.2010
(1872-Пр/10)",4606486000433,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Ацикловир,Ацикловир*,"таблетки 200 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Северная звезда"" - Россия", 20,  15.55,,ЛСР-003251/07,"19.02.2010
(1230-Пр/10)",4607005890795,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Ацикловир,Виролекс,"мазь глазная 3%, 4.5 г - тубы алюминиевые - пачки картонные","КРКА, д.д., Ново место - Словения", 1,  263.43,,П N014287/01,"12.04.2010
(3079-Пр/10)",3838989500498,,исключения лекарственного препарата из государственного реестра лекарственных средств для медицинского применения,16.12.2015
Бария сульфат,Бар-ВИПС*,"порошок для приготовления суспензии для приема внутрь, 240 г - пакеты из комбинированных материалов","ООО ""Фирма ""Випс-Мед"" - Россия", 1,  60.48,,Р N000178/01,"25.03.2010
(2450-Пр/10)",4603761000010,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
Блеомицин,Бленамакс,"лиофилизат для приготовления раствора для инъекций 15 ЕД, 1 шт. - флаконы - пачки картонные",Вл. - Тева Фармацевтические Предприятия Лтд - Израиль; Пр. - Фармахеми Б.В. - Нидерланды, 1,  860.03,,П N012754/01,"17.03.2010
(2173-Пр/10)",7290008097642,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,05.11.2015
Бромдигидрохлорфенилбензодиазепин,Фезипам********(*)*,"таблетки 0.5 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ОАО ""Татхимфармпрепараты"" - Россия", 50,  25.05,,ЛСР-007073/08,"10.03.2010
(1808-Пр/10)",4604060011530,,представления производителем лекарственного препарата заявления об исключении сведений из реестра,
